time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,-7.24,84.96,0.0,-0.0,0.0,255.5,2.01,18.0,98168.0
20060101:0100,-6.54,85.98,0.0,-0.0,0.0,262.6,1.9,20.0,98149.0
20060101:0200,-5.84,86.99,0.0,-0.0,0.0,269.69,1.79,21.0,98159.0
20060101:0300,-5.14,88.01,0.0,-0.0,0.0,276.79,1.68,20.0,98168.0
20060101:0400,-4.44,89.03,0.0,-0.0,0.0,283.89,1.57,17.0,98198.0
20060101:0500,-3.73,90.04,0.0,-0.0,0.0,290.99,1.46,14.0,98208.0
20060101:0600,-3.03,91.06,0.0,-0.0,0.0,298.08,1.35,9.0,98267.0
20060101:0700,-2.33,92.08,0.0,-0.0,0.0,305.18,1.24,6.0,98325.0
20060101:0800,-3.38,94.35,0.0,-0.0,0.0,283.8,1.1,358.0,98404.0
20060101:0900,-3.46,94.7,2.0,0.0,2.0,287.6,0.97,353.0,98473.0
20060101:1000,-3.59,94.55,6.0,0.0,6.0,285.4,0.83,349.0,98532.0
20060101:1100,-3.34,93.55,27.0,0.0,27.0,283.4,0.62,343.0,98581.0
20060101:1200,-3.3,93.85,9.0,0.0,9.0,284.2,0.62,342.0,98620.0
20060101:1300,-3.3,94.5,3.0,0.0,3.0,282.8,0.62,345.0,98649.0
20060101:1400,-3.79,95.6,0.0,-0.0,0.0,280.8,0.83,340.0,98708.0
20060101:1500,-4.12,95.95,0.0,-0.0,0.0,276.8,0.83,329.0,98777.0
20060101:1600,-4.25,96.35,0.0,-0.0,0.0,279.0,0.69,312.0,98855.0
20060101:1700,-4.38,96.35,0.0,-0.0,0.0,277.8,0.62,302.0,98934.0
20060101:1800,-4.29,95.65,0.0,-0.0,0.0,289.0,0.48,306.0,98983.0
20060101:1900,-4.53,94.6,0.0,-0.0,0.0,287.4,0.62,294.0,99061.0
20060101:2000,-4.87,94.5,0.0,-0.0,0.0,277.6,0.76,283.0,99120.0
20060101:2100,-5.31,94.35,0.0,-0.0,0.0,269.6,0.83,291.0,99199.0
20060101:2200,-5.8,94.35,0.0,-0.0,0.0,260.6,0.9,296.0,99248.0
20060101:2300,-6.04,94.9,0.0,-0.0,0.0,252.8,0.76,300.0,99336.0
20060102:0000,-6.09,95.45,0.0,-0.0,0.0,254.8,0.69,307.0,99385.0
20060102:0100,-6.45,95.85,0.0,-0.0,0.0,244.8,0.76,320.0,99444.0
20060102:0200,-7.51,95.8,0.0,-0.0,0.0,242.0,0.97,323.0,99532.0
20060102:0300,-8.04,95.5,0.0,-0.0,0.0,245.6,0.97,323.0,99611.0
20060102:0400,-8.32,95.3,0.0,-0.0,0.0,239.6,0.9,325.0,99650.0
20060102:0500,-8.95,94.95,0.0,-0.0,0.0,227.4,0.97,323.0,99689.0
20060102:0600,-10.15,94.45,0.0,-0.0,0.0,217.8,1.17,324.0,99768.0
20060102:0700,-11.38,93.15,0.0,-0.0,0.0,220.8,1.24,323.0,99837.0
20060102:0800,-12.01,92.35,0.0,-0.0,0.0,227.2,1.31,328.0,99935.0
20060102:0900,-12.62,91.6,28.0,374.73,10.0,225.8,1.38,329.0,100033.0
20060102:1000,-12.25,91.5,45.0,94.46,36.0,231.0,1.1,336.0,100082.0
20060102:1100,-11.76,91.3,22.0,0.0,22.0,236.6,0.83,334.0,100151.0
20060102:1200,-11.34,91.05,48.0,100.28,38.0,242.6,0.76,329.0,100190.0
20060102:1300,-11.65,90.45,5.0,0.0,5.0,231.4,0.76,330.0,100229.0
20060102:1400,-12.22,89.85,0.0,-0.0,0.0,237.8,0.9,338.0,100298.0
20060102:1500,-12.72,89.85,0.0,-0.0,0.0,231.8,0.97,348.0,100347.0
20060102:1600,-13.09,89.35,0.0,-0.0,0.0,231.0,0.97,351.0,100425.0
20060102:1700,-13.57,88.95,0.0,-0.0,0.0,221.0,1.03,346.0,100435.0
20060102:1800,-13.5,88.5,0.0,-0.0,0.0,226.6,0.9,336.0,100514.0
20060102:1900,-12.77,89.5,0.0,-0.0,0.0,232.0,0.9,352.0,100533.0
20060102:2000,-13.2,90.3,0.0,-0.0,0.0,216.8,0.97,349.0,100573.0
20060102:2100,-13.51,90.55,0.0,-0.0,0.0,212.8,1.03,344.0,100612.0
20060102:2200,-13.94,90.35,0.0,-0.0,0.0,211.0,1.1,335.0,100582.0
20060102:2300,-13.84,90.05,0.0,-0.0,0.0,207.8,0.97,334.0,100622.0
20060103:0000,-13.1,89.1,0.0,-0.0,0.0,206.8,0.83,347.0,100632.0
20060103:0100,-13.7,88.45,0.0,-0.0,0.0,210.0,0.55,354.0,100641.0
20060103:0200,-13.94,88.35,0.0,-0.0,0.0,207.0,0.41,339.0,100700.0
20060103:0300,-14.19,88.3,0.0,-0.0,0.0,205.2,0.48,354.0,100681.0
20060103:0400,-14.48,87.95,0.0,-0.0,0.0,208.8,0.41,26.0,100710.0
20060103:0500,-14.83,87.5,0.0,-0.0,0.0,209.2,0.55,69.0,100710.0
20060103:0600,-15.39,87.05,0.0,-0.0,0.0,206.2,0.83,105.0,100671.0
20060103:0700,-16.09,88.2,0.0,-0.0,0.0,208.2,1.03,123.0,100720.0
20060103:0800,-15.31,88.2,0.0,-0.0,0.0,213.2,0.9,163.0,100779.0
20060103:0900,-15.75,87.55,28.0,325.48,12.0,211.2,0.9,176.0,100838.0
20060103:1000,-16.0,87.8,38.0,41.39,34.0,217.6,0.97,148.0,100847.0
20060103:1100,-14.74,88.15,25.0,0.0,25.0,223.4,0.76,137.0,100838.0
20060103:1200,-14.17,88.1,15.0,0.0,15.0,218.2,0.83,150.0,100867.0
20060103:1300,-14.25,88.65,4.0,0.0,4.0,222.8,1.03,154.0,100896.0
20060103:1400,-14.29,89.3,0.0,-0.0,0.0,230.4,1.1,147.0,100916.0
20060103:1500,-13.54,89.9,0.0,-0.0,0.0,238.0,0.9,142.0,100955.0
20060103:1600,-12.22,89.85,0.0,-0.0,0.0,255.4,0.62,129.0,101004.0
20060103:1700,-11.57,89.6,0.0,-0.0,0.0,271.8,0.55,95.0,101044.0
20060103:1800,-11.5,89.85,0.0,-0.0,0.0,270.0,0.62,72.0,101112.0
20060103:1900,-10.59,90.85,0.0,-0.0,0.0,261.2,0.76,129.0,101161.0
20060103:2000,-9.55,91.4,0.0,-0.0,0.0,269.8,0.48,92.0,101250.0
20060103:2100,-9.73,91.35,0.0,-0.0,0.0,273.8,0.48,41.0,101328.0
20060103:2200,-10.11,91.05,0.0,-0.0,0.0,267.8,0.69,18.0,101377.0
20060103:2300,-10.88,90.5,0.0,-0.0,0.0,253.2,0.97,9.0,101466.0
20060104:0000,-11.23,89.85,0.0,-0.0,0.0,251.2,0.97,3.0,101524.0
20060104:0100,-11.59,89.45,0.0,-0.0,0.0,248.8,1.03,356.0,101574.0
20060104:0200,-11.42,89.4,0.0,-0.0,0.0,258.0,0.9,351.0,101642.0
20060104:0300,-11.51,89.2,0.0,-0.0,0.0,252.2,1.03,346.0,101721.0
20060104:0400,-11.57,89.0,0.0,-0.0,0.0,248.8,1.1,339.0,101819.0
20060104:0500,-12.19,87.95,0.0,-0.0,0.0,234.2,1.1,344.0,101848.0
20060104:0600,-12.79,87.25,0.0,-0.0,0.0,233.0,1.03,350.0,101868.0
20060104:0700,-13.26,86.8,0.0,-0.0,0.0,233.6,0.97,9.0,101927.0
20060104:0800,-13.64,86.6,0.0,-0.0,0.0,235.4,0.9,11.0,101996.0
20060104:0900,-14.38,86.45,3.0,0.0,3.0,223.6,1.03,7.0,102084.0
20060104:1000,-13.48,86.65,7.0,0.0,7.0,231.6,0.69,12.0,102153.0
20060104:1100,-12.37,84.85,11.0,0.0,11.0,228.8,0.48,22.0,102211.0
20060104:1200,-11.63,82.9,11.0,0.0,11.0,233.6,0.34,35.0,102231.0
20060104:1300,-11.9,84.95,3.0,0.0,3.0,231.6,0.55,44.0,102241.0
20060104:1400,-12.57,87.35,0.0,-0.0,0.0,242.4,0.97,26.0,102241.0
20060104:1500,-12.98,86.9,0.0,-0.0,0.0,230.2,1.17,24.0,102310.0
20060104:1600,-13.3,86.8,0.0,-0.0,0.0,238.0,0.9,43.0,102368.0
20060104:1700,-13.0,87.2,0.0,-0.0,0.0,242.2,0.62,84.0,102329.0
20060104:1800,-12.57,88.2,0.0,-0.0,0.0,242.8,0.55,65.0,102368.0
20060104:1900,-10.75,88.75,0.0,-0.0,0.0,280.0,0.83,42.0,102398.0
20060104:2000,-10.33,89.6,0.0,-0.0,0.0,277.6,0.69,50.0,102437.0
20060104:2100,-9.61,90.5,0.0,-0.0,0.0,280.8,0.48,76.0,102447.0
20060104:2200,-8.77,91.6,0.0,-0.0,0.0,284.4,0.48,103.0,102427.0
20060104:2300,-8.3,91.95,0.0,-0.0,0.0,275.0,0.69,134.0,102437.0
20060105:0000,-7.85,92.55,0.0,-0.0,0.0,280.8,0.69,139.0,102437.0
20060105:0100,-7.96,92.8,0.0,-0.0,0.0,273.4,0.9,138.0,102427.0
20060105:0200,-7.76,93.2,0.0,-0.0,0.0,279.6,0.97,146.0,102447.0
20060105:0300,-7.63,93.7,0.0,-0.0,0.0,276.2,1.03,158.0,102437.0
20060105:0400,-7.51,94.05,0.0,-0.0,0.0,280.8,0.83,166.0,102437.0
20060105:0500,-7.3,94.55,0.0,-0.0,0.0,278.6,0.55,164.0,102388.0
20060105:0600,-6.99,95.8,0.0,-0.0,0.0,277.6,0.34,107.0,102368.0
20060105:0700,-6.73,94.5,0.0,-0.0,0.0,281.0,0.28,85.0,102398.0
20060105:0800,-7.17,94.1,0.0,-0.0,0.0,274.2,0.48,73.0,102417.0
20060105:0900,-6.84,93.95,3.0,0.0,3.0,278.6,0.28,71.0,102427.0
20060105:1000,-6.67,93.75,6.0,0.0,6.0,269.8,0.28,59.0,102359.0
20060105:1100,-6.23,91.65,8.0,0.0,8.0,265.4,0.34,57.0,102349.0
20060105:1200,-6.25,92.15,7.0,0.0,7.0,275.4,0.41,43.0,102290.0
20060105:1300,-6.31,92.5,3.0,0.0,3.0,271.0,0.48,20.0,102221.0
20060105:1400,-7.07,94.35,0.0,-0.0,0.0,250.8,1.17,23.0,102172.0
20060105:1500,-7.36,94.1,0.0,-0.0,0.0,260.6,1.1,27.0,102192.0
20060105:1600,-7.72,93.75,0.0,-0.0,0.0,258.2,1.1,20.0,102182.0
20060105:1700,-7.95,93.3,0.0,-0.0,0.0,258.6,1.1,10.0,102172.0
20060105:1800,-8.1,92.9,0.0,-0.0,0.0,261.0,1.03,15.0,102153.0
20060105:1900,-7.24,93.55,0.0,-0.0,0.0,275.8,0.62,34.0,102162.0
20060105:2000,-7.67,93.25,0.0,-0.0,0.0,264.0,0.9,33.0,102153.0
20060105:2100,-7.99,92.9,0.0,-0.0,0.0,262.6,0.97,25.0,102143.0
20060105:2200,-8.13,92.75,0.0,-0.0,0.0,267.2,0.83,21.0,102143.0
20060105:2300,-7.84,93.0,0.0,-0.0,0.0,278.2,0.69,24.0,102162.0
20060106:0000,-7.78,93.1,0.0,-0.0,0.0,276.4,0.69,18.0,102143.0
20060106:0100,-7.67,93.1,0.0,-0.0,0.0,277.0,0.69,8.0,102133.0
20060106:0200,-7.34,93.15,0.0,-0.0,0.0,282.8,0.69,7.0,102133.0
20060106:0300,-7.35,93.3,0.0,-0.0,0.0,280.0,0.69,10.0,102143.0
20060106:0400,-7.23,93.35,0.0,-0.0,0.0,281.6,0.55,17.0,102143.0
20060106:0500,-7.36,93.15,0.0,-0.0,0.0,276.0,0.62,23.0,102113.0
20060106:0600,-7.28,93.15,0.0,-0.0,0.0,279.0,0.55,26.0,102113.0
20060106:0700,-7.17,93.6,0.0,-0.0,0.0,275.4,0.62,26.0,102143.0
20060106:0800,-7.26,93.35,0.0,-0.0,0.0,276.2,0.69,26.0,102172.0
20060106:0900,-7.44,93.15,3.0,0.0,3.0,272.6,0.69,20.0,102202.0
20060106:1000,-7.26,92.8,7.0,0.0,7.0,266.4,0.55,12.0,102231.0
20060106:1100,-6.45,90.15,15.0,0.0,15.0,271.4,0.41,5.0,102221.0
20060106:1200,-5.96,89.0,15.0,0.0,15.0,275.8,0.41,354.0,102221.0
20060106:1300,-6.37,91.6,4.0,0.0,4.0,262.0,0.76,357.0,102202.0
20060106:1400,-6.85,92.4,0.0,-0.0,0.0,253.4,1.17,3.0,102192.0
20060106:1500,-7.28,91.95,0.0,-0.0,0.0,255.8,1.17,10.0,102202.0
20060106:1600,-7.62,91.7,0.0,-0.0,0.0,254.8,1.1,16.0,102202.0
20060106:1700,-7.99,91.8,0.0,-0.0,0.0,248.6,1.1,22.0,102202.0
20060106:1800,-8.38,92.3,0.0,-0.0,0.0,250.0,0.9,24.0,102221.0
20060106:1900,-8.3,92.7,0.0,-0.0,0.0,255.2,1.24,6.0,102221.0
20060106:2000,-8.94,93.15,0.0,-0.0,0.0,241.6,1.31,2.0,102231.0
20060106:2100,-9.36,92.9,0.0,-0.0,0.0,249.2,1.17,7.0,102231.0
20060106:2200,-9.67,92.85,0.0,-0.0,0.0,248.0,1.1,9.0,102241.0
20060106:2300,-9.95,92.65,0.0,-0.0,0.0,254.2,1.1,360.0,102231.0
20060107:0000,-10.37,92.2,0.0,-0.0,0.0,249.0,1.03,350.0,102211.0
20060107:0100,-10.38,92.0,0.0,-0.0,0.0,261.2,0.83,349.0,102202.0
20060107:0200,-10.69,91.85,0.0,-0.0,0.0,250.8,0.97,348.0,102182.0
20060107:0300,-10.89,91.4,0.0,-0.0,0.0,254.2,0.9,346.0,102182.0
20060107:0400,-10.71,91.0,0.0,-0.0,0.0,264.6,0.76,344.0,102172.0
20060107:0500,-10.75,90.3,0.0,-0.0,0.0,259.8,0.83,343.0,102182.0
20060107:0600,-10.97,89.9,0.0,-0.0,0.0,254.2,0.9,346.0,102172.0
20060107:0700,-11.24,90.05,0.0,-0.0,0.0,246.8,0.83,352.0,102211.0
20060107:0800,-11.71,89.65,0.0,-0.0,0.0,236.4,1.1,352.0,102241.0
20060107:0900,-12.01,89.5,4.0,0.0,4.0,239.0,0.97,351.0,102260.0
20060107:1000,-11.47,88.85,7.0,0.0,7.0,250.2,0.69,347.0,102251.0
20060107:1100,-10.47,86.7,10.0,0.0,10.0,261.6,0.62,346.0,102251.0
20060107:1200,-9.59,85.65,7.0,0.0,7.0,269.6,0.69,349.0,102241.0
20060107:1300,-9.55,86.65,4.0,0.0,4.0,256.0,0.76,353.0,102162.0
20060107:1400,-9.42,87.45,0.0,-0.0,0.0,270.8,0.69,354.0,102153.0
20060107:1500,-9.42,88.8,0.0,-0.0,0.0,273.2,0.69,358.0,102143.0
20060107:1600,-9.5,89.8,0.0,-0.0,0.0,269.6,0.69,359.0,102153.0
20060107:1700,-9.59,90.2,0.0,-0.0,0.0,266.0,0.76,2.0,102143.0
20060107:1800,-9.6,90.6,0.0,-0.0,0.0,267.4,0.62,7.0,102143.0
20060107:1900,-9.51,89.65,0.0,-0.0,0.0,269.2,0.9,2.0,102143.0
20060107:2000,-9.63,89.7,0.0,-0.0,0.0,267.0,0.76,12.0,102143.0
20060107:2100,-9.64,90.2,0.0,-0.0,0.0,270.0,0.55,14.0,102143.0
20060107:2200,-9.42,90.5,0.0,-0.0,0.0,275.2,0.34,11.0,102182.0
20060107:2300,-8.96,89.65,0.0,-0.0,0.0,282.8,0.28,23.0,102153.0
20060108:0000,-8.69,90.1,0.0,-0.0,0.0,282.6,0.21,29.0,102123.0
20060108:0100,-8.56,91.15,0.0,-0.0,0.0,280.2,0.21,35.0,102113.0
20060108:0200,-8.23,91.3,0.0,-0.0,0.0,283.0,0.14,50.0,102074.0
20060108:0300,-7.93,91.65,0.0,-0.0,0.0,281.2,0.07,126.0,102074.0
20060108:0400,-7.66,92.25,0.0,-0.0,0.0,283.4,0.21,173.0,102035.0
20060108:0500,-7.38,92.8,0.0,-0.0,0.0,284.0,0.34,189.0,102015.0
20060108:0600,-7.25,93.6,0.0,-0.0,0.0,282.2,0.55,198.0,101996.0
20060108:0700,-7.81,94.75,0.0,-0.0,0.0,275.6,0.62,183.0,102025.0
20060108:0800,-7.53,94.9,0.0,-0.0,0.0,282.8,0.69,196.0,102025.0
20060108:0900,-7.37,95.1,3.0,0.0,3.0,278.2,0.83,204.0,102035.0
20060108:1000,-7.08,94.4,7.0,0.0,7.0,271.2,0.55,203.0,102074.0
20060108:1100,-6.48,93.6,10.0,0.0,10.0,275.8,0.62,207.0,102054.0
20060108:1200,-6.45,93.65,7.0,0.0,7.0,266.4,0.76,207.0,102005.0
20060108:1300,-6.07,93.15,4.0,0.0,4.0,271.8,0.83,208.0,101946.0
20060108:1400,-6.09,94.1,0.0,0.0,0.0,275.4,0.9,209.0,101956.0
20060108:1500,-6.32,94.7,0.0,-0.0,0.0,271.0,0.9,209.0,101946.0
20060108:1600,-6.44,94.95,0.0,-0.0,0.0,272.4,0.83,211.0,101927.0
20060108:1700,-6.53,95.2,0.0,-0.0,0.0,273.2,0.76,214.0,101897.0
20060108:1800,-6.63,95.15,0.0,-0.0,0.0,274.4,0.62,214.0,101897.0
20060108:1900,-6.81,94.7,0.0,-0.0,0.0,275.6,0.48,212.0,101878.0
20060108:2000,-6.77,94.45,0.0,-0.0,0.0,278.2,0.41,215.0,101868.0
20060108:2100,-6.82,94.35,0.0,-0.0,0.0,277.6,0.41,216.0,101839.0
20060108:2200,-6.9,94.4,0.0,-0.0,0.0,279.0,0.34,218.0,101858.0
20060108:2300,-6.97,94.2,0.0,-0.0,0.0,276.4,0.34,205.0,101829.0
20060109:0000,-6.82,94.35,0.0,-0.0,0.0,280.4,0.34,190.0,101789.0
20060109:0100,-6.8,94.2,0.0,-0.0,0.0,280.4,0.48,183.0,101740.0
20060109:0200,-6.8,95.05,0.0,-0.0,0.0,276.2,0.76,185.0,101691.0
20060109:0300,-6.58,94.9,0.0,-0.0,0.0,279.2,0.9,193.0,101632.0
20060109:0400,-6.33,94.7,0.0,-0.0,0.0,282.2,0.97,192.0,101593.0
20060109:0500,-6.2,94.75,0.0,-0.0,0.0,280.6,1.1,187.0,101544.0
20060109:0600,-6.01,94.8,0.0,-0.0,0.0,284.8,1.17,185.0,101515.0
20060109:0700,-6.02,94.9,0.0,-0.0,0.0,281.2,1.17,177.0,101446.0
20060109:0800,-6.0,94.6,0.0,-0.0,0.0,277.6,1.45,180.0,101436.0
20060109:0900,-6.0,94.2,4.0,0.0,4.0,280.8,1.59,182.0,101426.0
20060109:1000,-5.99,92.25,7.0,0.0,7.0,277.4,1.93,181.0,101446.0
20060109:1100,-6.11,91.6,9.0,0.0,9.0,277.2,2.0,180.0,101367.0
20060109:1200,-6.3,91.9,11.0,0.0,11.0,274.2,2.0,178.0,101269.0
20060109:1300,-6.5,92.8,0.0,0.0,0.0,270.4,1.79,169.0,101181.0
20060109:1400,-6.55,93.05,0.0,0.0,0.0,279.2,1.86,167.0,101083.0
20060109:1500,-6.55,93.1,0.0,-0.0,0.0,280.0,2.07,167.0,100985.0
20060109:1600,-6.32,92.1,0.0,-0.0,0.0,283.0,2.21,169.0,100906.0
20060109:1700,-5.97,91.6,0.0,-0.0,0.0,283.2,2.48,171.0,100808.0
20060109:1800,-5.47,91.35,0.0,-0.0,0.0,287.8,2.55,175.0,100700.0
20060109:1900,-5.85,92.45,0.0,-0.0,0.0,283.8,2.9,172.0,100602.0
20060109:2000,-5.26,91.85,0.0,-0.0,0.0,285.8,2.83,175.0,100494.0
20060109:2100,-4.78,92.6,0.0,-0.0,0.0,283.0,2.97,181.0,100396.0
20060109:2200,-4.21,92.35,0.0,-0.0,0.0,290.6,3.17,184.0,100367.0
20060109:2300,-3.81,92.15,0.0,-0.0,0.0,291.2,3.45,185.0,100259.0
20060110:0000,-3.53,92.1,0.0,-0.0,0.0,292.6,3.59,187.0,100092.0
20060110:0100,-3.36,92.4,0.0,-0.0,0.0,291.4,3.59,188.0,99994.0
20060110:0200,-3.23,93.05,0.0,-0.0,0.0,293.6,3.52,188.0,99925.0
20060110:0300,-2.99,92.5,0.0,-0.0,0.0,295.0,3.52,186.0,99788.0
20060110:0400,-2.79,91.75,0.0,-0.0,0.0,295.2,3.59,184.0,99699.0
20060110:0500,-2.67,91.55,0.0,-0.0,0.0,296.4,3.52,185.0,99572.0
20060110:0600,-2.59,91.55,0.0,-0.0,0.0,296.2,3.45,184.0,99503.0
20060110:0700,-2.26,92.5,0.0,-0.0,0.0,298.8,3.45,182.0,99425.0
20060110:0800,-2.1,91.9,0.0,-0.0,0.0,298.8,3.31,181.0,99356.0
20060110:0900,-1.86,92.25,14.0,0.0,14.0,299.8,3.24,181.0,99268.0
20060110:1000,-1.47,92.95,87.0,591.84,22.0,301.8,3.1,183.0,99268.0
20060110:1100,-0.81,93.25,12.0,0.0,12.0,304.4,2.9,189.0,99209.0
20060110:1200,0.18,92.4,15.0,0.0,15.0,302.4,2.97,198.0,99111.0
20060110:1300,0.88,95.5,50.0,407.92,19.0,306.6,2.83,206.0,99052.0
20060110:1400,1.24,98.35,0.0,0.0,0.0,317.0,2.62,212.0,99052.0
20060110:1500,1.44,99.45,0.0,-0.0,0.0,315.0,2.28,215.0,99032.0
20060110:1600,1.48,99.45,0.0,-0.0,0.0,319.0,1.86,210.0,99052.0
20060110:1700,1.47,99.45,0.0,-0.0,0.0,321.4,1.79,202.0,99032.0
20060110:1800,1.46,99.5,0.0,-0.0,0.0,317.8,1.86,195.0,99003.0
20060110:1900,1.8,99.45,0.0,-0.0,0.0,323.8,2.21,189.0,99003.0
20060110:2000,1.99,99.45,0.0,-0.0,0.0,323.8,2.48,186.0,98914.0
20060110:2100,2.13,99.45,0.0,-0.0,0.0,325.0,2.9,182.0,98826.0
20060110:2200,2.16,99.45,0.0,-0.0,0.0,325.0,3.38,181.0,98796.0
20060110:2300,2.14,99.45,0.0,-0.0,0.0,325.4,3.59,184.0,98698.0
20060111:0000,2.28,99.45,0.0,-0.0,0.0,325.6,3.86,187.0,98581.0
20060111:0100,2.66,99.5,0.0,-0.0,0.0,326.05,4.07,190.0,98492.0
20060111:0200,2.64,99.4,0.0,-0.0,0.0,326.4,4.28,190.0,98404.0
20060111:0300,2.77,99.45,0.0,-0.0,0.0,325.4,4.34,190.0,98276.0
20060111:0400,3.0,99.25,0.0,-0.0,0.0,327.6,4.34,192.0,98198.0
20060111:0500,3.28,99.35,0.0,-0.0,0.0,328.4,4.28,193.0,98129.0
20060111:0600,3.62,99.25,0.0,-0.0,0.0,330.4,4.28,194.0,98041.0
20060111:0700,3.51,99.25,0.0,-0.0,0.0,329.4,4.0,193.0,97992.0
20060111:0800,3.73,99.45,0.0,-0.0,0.0,331.6,3.79,195.0,97953.0
20060111:0900,3.87,99.5,3.0,0.0,3.0,332.6,3.66,198.0,97943.0
20060111:1000,3.98,99.5,7.0,0.0,7.0,333.6,3.52,203.0,98021.0
20060111:1100,3.98,99.45,34.0,0.0,34.0,334.0,3.31,203.0,97933.0
20060111:1200,3.92,99.5,51.0,49.76,45.0,333.4,3.17,206.0,97835.0
20060111:1300,3.81,99.5,13.0,0.0,13.0,333.6,3.03,209.0,97756.0
20060111:1400,3.65,99.5,0.0,0.0,0.0,333.0,2.76,209.0,97658.0
20060111:1500,3.48,99.5,0.0,-0.0,0.0,332.0,2.62,208.0,97599.0
20060111:1600,3.39,99.5,0.0,-0.0,0.0,331.0,2.69,216.0,97580.0
20060111:1700,3.18,99.5,0.0,-0.0,0.0,326.4,2.9,225.0,97639.0
20060111:1800,2.9,98.65,0.0,-0.0,0.0,327.6,2.9,232.0,97747.0
20060111:1900,3.39,92.6,0.0,-0.0,0.0,322.8,3.38,250.0,97913.0
20060111:2000,2.8,85.5,0.0,-0.0,0.0,277.4,3.17,246.0,98110.0
20060111:2100,1.87,81.85,0.0,-0.0,0.0,240.6,2.97,238.0,98306.0
20060111:2200,1.12,79.4,0.0,-0.0,0.0,231.4,2.9,234.0,98522.0
20060111:2300,0.57,77.3,0.0,-0.0,0.0,233.2,2.83,231.0,98649.0
20060112:0000,0.18,76.55,0.0,-0.0,0.0,228.2,2.83,233.0,98757.0
20060112:0100,0.05,77.0,0.0,-0.0,0.0,223.8,2.69,237.0,98875.0
20060112:0200,-0.23,78.75,0.0,-0.0,0.0,221.4,2.55,238.0,99003.0
20060112:0300,-0.45,79.1,0.0,-0.0,0.0,220.2,2.55,240.0,99130.0
20060112:0400,-0.51,77.6,0.0,-0.0,0.0,218.8,2.55,247.0,99277.0
20060112:0500,-0.45,76.25,0.0,-0.0,0.0,220.2,2.55,251.0,99415.0
20060112:0600,-0.63,76.1,0.0,-0.0,0.0,219.6,2.28,246.0,99552.0
20060112:0700,-0.8,76.8,0.0,-0.0,0.0,217.6,2.28,233.0,99670.0
20060112:0800,-1.13,76.0,0.0,-0.0,0.0,218.0,2.34,225.0,99788.0
20060112:0900,-1.18,77.65,34.0,199.72,21.0,219.8,2.41,220.0,99866.0
20060112:1000,-0.17,77.15,83.0,435.8,33.0,229.6,2.48,229.0,100053.0
20060112:1100,0.79,76.2,78.0,178.24,54.0,235.2,2.48,235.0,100072.0
20060112:1200,1.17,77.5,0.0,0.0,0.0,245.6,2.07,232.0,100111.0
20060112:1300,1.22,79.5,0.0,0.0,0.0,258.6,2.0,229.0,100111.0
20060112:1400,0.89,82.55,0.0,0.0,0.0,264.0,2.0,222.0,100170.0
20060112:1500,0.22,86.25,0.0,-0.0,0.0,252.2,2.07,214.0,100180.0
20060112:1600,-0.31,87.35,0.0,-0.0,0.0,235.0,2.21,206.0,100239.0
20060112:1700,-0.57,90.35,0.0,-0.0,0.0,238.2,2.28,202.0,100210.0
20060112:1800,-0.65,93.45,0.0,-0.0,0.0,239.8,2.28,197.0,100259.0
20060112:1900,0.45,93.5,0.0,-0.0,0.0,256.0,2.83,202.0,100239.0
20060112:2000,0.53,95.8,0.0,-0.0,0.0,251.4,3.03,204.0,100259.0
20060112:2100,0.65,95.75,0.0,-0.0,0.0,255.2,3.17,206.0,100259.0
20060112:2200,0.85,94.2,0.0,-0.0,0.0,260.2,3.31,210.0,100308.0
20060112:2300,0.86,94.0,0.0,-0.0,0.0,251.0,3.38,211.0,100308.0
20060113:0000,0.9,94.1,0.0,-0.0,0.0,250.0,3.45,211.0,100318.0
20060113:0100,0.54,94.4,0.0,-0.0,0.0,248.4,3.45,211.0,100298.0
20060113:0200,0.47,95.05,0.0,-0.0,0.0,246.4,3.31,211.0,100337.0
20060113:0300,0.31,96.0,0.0,-0.0,0.0,245.8,3.24,210.0,100337.0
20060113:0400,0.22,96.65,0.0,-0.0,0.0,251.6,3.1,210.0,100376.0
20060113:0500,0.13,97.3,0.0,-0.0,0.0,255.8,2.97,209.0,100396.0
20060113:0600,0.3,96.85,0.0,-0.0,0.0,275.0,2.9,209.0,100475.0
20060113:0700,0.59,97.75,0.0,-0.0,0.0,281.4,2.9,206.0,100524.0
20060113:0800,0.82,97.2,0.0,-0.0,0.0,302.0,2.9,206.0,100592.0
20060113:0900,0.89,96.85,28.0,74.08,23.0,303.2,2.83,206.0,100661.0
20060113:1000,1.03,95.7,37.0,8.52,36.0,307.2,2.76,204.0,100739.0
20060113:1100,1.13,94.5,20.0,0.0,20.0,304.2,2.83,202.0,100720.0
20060113:1200,1.09,93.8,46.0,23.71,43.0,300.4,2.83,202.0,100720.0
20060113:1300,0.89,93.55,7.0,0.0,7.0,295.4,2.76,200.0,100739.0
20060113:1400,0.51,94.0,0.0,0.0,0.0,283.8,2.83,199.0,100730.0
20060113:1500,-0.02,95.75,0.0,-0.0,0.0,271.0,2.9,199.0,100730.0
20060113:1600,-0.37,97.35,0.0,-0.0,0.0,262.4,2.97,199.0,100749.0
20060113:1700,-0.26,96.85,0.0,-0.0,0.0,287.6,2.97,200.0,100769.0
