time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140613:1300,14.93,46.85,738.0,845.45,117.0,349.0,4.55,9.0,99464.0
20140613:1400,15.46,44.0,655.0,817.57,113.0,340.8,4.14,11.0,99444.0
20140613:1500,15.85,41.75,560.0,833.94,85.0,332.0,3.66,10.0,99454.0
20140613:1600,16.06,39.45,426.0,713.97,97.0,305.2,3.59,7.0,99483.0
20140613:1700,15.79,38.6,296.0,607.53,87.0,296.4,3.59,3.0,99542.0
20140613:1800,15.02,40.25,183.0,563.44,55.0,288.6,3.52,358.0,99611.0
20140613:1900,13.65,45.55,70.0,253.69,40.0,280.6,3.66,355.0,99689.0
20140613:2000,12.27,49.25,0.0,0.0,0.0,281.8,3.72,357.0,99827.0
20140613:2100,11.02,52.65,0.0,-0.0,0.0,272.6,3.45,358.0,99915.0
20140613:2200,10.13,55.4,0.0,-0.0,0.0,271.0,3.17,356.0,99984.0
20140613:2300,9.36,58.05,0.0,-0.0,0.0,268.6,2.9,350.0,100023.0
20140614:0000,8.58,60.8,0.0,-0.0,0.0,260.4,2.76,346.0,100072.0
20140614:0100,7.95,62.8,0.0,-0.0,0.0,260.6,2.69,347.0,100111.0
20140614:0200,7.43,64.8,0.0,0.0,0.0,257.4,2.55,348.0,100151.0
20140614:0300,7.33,65.8,56.0,119.16,42.0,257.8,2.48,349.0,100200.0
20140614:0400,7.87,65.05,171.0,450.96,69.0,254.8,2.28,350.0,100210.0
20140614:0500,8.99,61.15,298.0,632.82,81.0,256.4,2.55,360.0,100219.0
20140614:0600,10.58,56.85,423.0,702.61,100.0,259.2,2.41,6.0,100229.0
20140614:0700,12.36,53.55,547.0,775.54,106.0,265.0,2.21,15.0,100210.0
20140614:0800,13.89,47.25,658.0,833.52,106.0,269.4,2.21,16.0,100190.0
20140614:0900,15.21,41.2,742.0,862.19,109.0,286.8,2.34,16.0,100141.0
20140614:1000,16.22,38.3,796.0,877.46,112.0,295.8,2.21,14.0,100062.0
20140614:1100,17.15,34.45,797.0,818.68,146.0,316.0,2.21,12.0,100023.0
20140614:1200,18.32,30.95,805.0,911.42,94.0,297.6,2.07,7.0,99994.0
20140614:1300,18.97,29.75,759.0,927.51,77.0,293.8,1.86,358.0,99945.0
20140614:1400,19.8,27.75,663.0,848.1,100.0,291.6,1.93,345.0,99915.0
20140614:1500,19.68,28.95,561.0,834.24,85.0,300.8,1.93,336.0,99856.0
20140614:1600,19.65,29.2,418.0,662.51,112.0,291.8,2.0,331.0,99837.0
20140614:1700,19.21,30.55,297.0,608.42,87.0,300.6,1.93,326.0,99817.0
20140614:1800,18.57,35.1,187.0,591.2,52.0,295.8,1.66,320.0,99807.0
20140614:1900,17.86,46.3,75.0,318.18,37.0,292.2,1.24,309.0,99807.0
20140614:2000,16.52,51.35,0.0,0.0,0.0,293.6,1.52,319.0,99846.0
20140614:2100,14.93,55.3,0.0,-0.0,0.0,295.6,1.72,340.0,99866.0
20140614:2200,13.79,54.7,0.0,-0.0,0.0,288.8,1.86,354.0,99886.0
20140614:2300,12.38,60.6,0.0,-0.0,0.0,283.6,1.93,358.0,99925.0
20140615:0000,11.18,64.8,0.0,-0.0,0.0,277.0,2.0,358.0,99935.0
20140615:0100,10.27,68.8,0.0,-0.0,0.0,275.2,2.0,357.0,99945.0
20140615:0200,9.46,72.2,0.0,0.0,0.0,274.0,1.93,355.0,99974.0
20140615:0300,9.2,74.75,45.0,42.42,40.0,272.8,1.72,356.0,99994.0
20140615:0400,10.15,74.55,186.0,591.67,52.0,276.6,1.31,359.0,99994.0
20140615:0500,12.63,62.75,302.0,655.69,77.0,280.0,1.31,8.0,100003.0
20140615:0600,14.67,55.15,325.0,269.61,201.0,280.0,1.31,14.0,99984.0
20140615:0700,16.5,48.0,501.0,571.33,176.0,284.4,1.17,9.0,99935.0
20140615:0800,18.09,39.35,571.0,504.15,237.0,288.6,1.1,349.0,99915.0
20140615:0900,19.35,35.1,706.0,724.32,174.0,293.2,1.17,325.0,99886.0
20140615:1000,20.38,33.45,666.0,469.29,300.0,296.0,1.45,310.0,99846.0
20140615:1100,21.13,31.6,754.0,674.9,217.0,303.0,2.07,307.0,99797.0
20140615:1200,21.65,29.6,726.0,634.05,231.0,337.0,2.41,309.0,99758.0
20140615:1300,21.42,29.9,720.0,769.01,154.0,347.4,2.41,312.0,99719.0
20140615:1400,21.44,30.15,668.0,863.61,94.0,357.6,2.28,317.0,99699.0
20140615:1500,21.08,31.75,559.0,818.91,91.0,354.0,2.0,327.0,99650.0
20140615:1600,20.86,33.0,255.0,97.22,210.0,355.8,1.93,338.0,99601.0
20140615:1700,20.53,35.35,74.0,0.0,74.0,356.8,1.72,352.0,99591.0
20140615:1800,19.68,43.1,16.0,0.0,16.0,334.6,1.1,4.0,99611.0
20140615:1900,18.3,49.45,7.0,0.0,7.0,332.0,1.24,17.0,99650.0
20140615:2000,16.76,51.15,0.0,0.0,0.0,326.0,2.0,26.0,99739.0
20140615:2100,15.37,52.75,0.0,-0.0,0.0,335.8,2.97,30.0,99807.0
20140615:2200,13.96,53.6,0.0,-0.0,0.0,308.6,2.76,38.0,99837.0
20140615:2300,12.87,56.25,0.0,-0.0,0.0,302.6,2.21,40.0,99856.0
20140616:0000,12.14,59.0,0.0,-0.0,0.0,303.6,1.93,35.0,99876.0
20140616:0100,11.55,61.45,0.0,-0.0,0.0,298.0,2.0,27.0,99876.0
20140616:0200,11.36,62.2,0.0,0.0,0.0,314.6,2.14,20.0,99905.0
20140616:0300,11.15,62.55,7.0,0.0,7.0,308.2,2.34,14.0,99915.0
20140616:0400,11.2,60.0,127.0,145.59,94.0,298.6,2.62,8.0,99935.0
20140616:0500,11.3,55.3,265.0,413.65,123.0,285.8,3.38,3.0,99935.0
20140616:0600,11.8,51.7,414.0,649.94,115.0,267.6,3.72,0.0,99974.0
20140616:0700,12.4,46.8,536.0,718.83,127.0,294.4,3.86,358.0,99984.0
20140616:0800,12.93,41.7,652.0,802.82,120.0,278.0,4.0,357.0,99994.0
20140616:0900,13.91,36.65,739.0,845.23,118.0,273.0,4.07,356.0,99984.0
20140616:1000,14.74,32.95,788.0,845.92,128.0,288.2,4.21,356.0,99964.0
20140616:1100,15.81,30.5,797.0,819.01,145.0,283.2,4.41,354.0,99964.0
20140616:1200,16.92,26.9,793.0,861.47,120.0,293.6,4.83,353.0,99974.0
20140616:1300,16.79,27.8,682.0,635.31,214.0,289.0,4.62,351.0,99994.0
20140616:1400,16.79,28.35,599.0,590.63,206.0,288.6,4.55,350.0,99984.0
20140616:1500,16.55,29.3,533.0,691.91,137.0,279.6,4.34,349.0,99984.0
20140616:1600,16.13,30.3,338.0,304.02,197.0,275.2,4.28,350.0,100023.0
20140616:1700,15.35,32.2,274.0,449.36,118.0,278.2,4.21,352.0,100082.0
20140616:1800,14.19,35.55,110.0,73.78,93.0,276.4,4.07,355.0,100121.0
20140616:1900,12.71,38.8,50.0,57.63,43.0,283.0,3.45,358.0,100160.0
20140616:2000,11.72,41.45,0.0,0.0,0.0,281.6,3.17,358.0,100210.0
20140616:2100,10.69,44.4,0.0,-0.0,0.0,273.2,2.76,358.0,100239.0
20140616:2200,9.91,47.6,0.0,-0.0,0.0,272.8,2.48,357.0,100298.0
20140616:2300,9.3,50.65,0.0,-0.0,0.0,275.4,2.14,355.0,100318.0
20140617:0000,8.72,53.8,0.0,-0.0,0.0,273.6,1.93,351.0,100318.0
20140617:0100,8.11,56.3,0.0,-0.0,0.0,273.4,1.86,346.0,100298.0
20140617:0200,7.72,58.7,0.0,0.0,0.0,275.2,1.66,344.0,100308.0
20140617:0300,7.47,61.6,7.0,0.0,7.0,266.2,1.45,340.0,100308.0
20140617:0400,8.0,60.7,144.0,242.56,89.0,252.8,1.31,327.0,100308.0
20140617:0500,8.98,53.05,218.0,198.06,150.0,251.4,1.86,335.0,100278.0
20140617:0600,10.12,47.65,350.0,356.47,186.0,257.8,1.79,335.0,100229.0
20140617:0700,11.61,44.8,356.0,152.9,269.0,264.8,1.86,325.0,100160.0
20140617:0800,13.09,39.55,558.0,464.74,250.0,270.6,2.0,318.0,100092.0
20140617:0900,14.4,35.65,644.0,521.19,261.0,279.2,2.21,314.0,100023.0
20140617:1000,15.7,32.35,690.0,531.74,275.0,279.4,2.34,310.0,99974.0
20140617:1100,16.71,30.25,611.0,310.14,364.0,284.6,2.34,307.0,99915.0
20140617:1200,17.57,28.4,772.0,784.22,159.0,296.0,2.48,306.0,99837.0
20140617:1300,18.7,25.8,721.0,769.12,154.0,299.8,2.97,317.0,99768.0
20140617:1400,19.25,25.4,626.0,686.12,169.0,327.2,3.1,316.0,99680.0
20140617:1500,19.34,25.9,527.0,661.34,148.0,339.2,3.17,314.0,99621.0
20140617:1600,19.26,27.2,366.0,406.8,177.0,338.4,3.17,317.0,99532.0
20140617:1700,19.11,29.45,101.0,0.0,101.0,350.0,2.83,326.0,99523.0
20140617:1800,18.56,33.55,38.0,0.0,38.0,341.4,2.34,335.0,99493.0
20140617:1900,17.36,42.35,18.0,0.0,18.0,353.2,1.79,320.0,99513.0
20140617:2000,16.07,48.9,0.0,0.0,0.0,340.6,1.52,331.0,99552.0
20140617:2100,14.89,53.4,0.0,-0.0,0.0,333.4,1.59,340.0,99572.0
20140617:2200,13.99,56.55,0.0,-0.0,0.0,324.6,1.79,348.0,99611.0
20140617:2300,13.61,58.35,0.0,-0.0,0.0,336.0,1.86,348.0,99631.0
20140618:0000,13.27,60.25,0.0,-0.0,0.0,333.4,1.93,340.0,99640.0
20140618:0100,13.07,61.95,0.0,-0.0,0.0,325.85,2.07,333.0,99640.0
20140618:0200,12.3,64.9,0.0,0.0,0.0,299.0,2.07,325.0,99640.0
20140618:0300,11.94,66.7,44.0,42.26,39.0,285.6,2.0,320.0,99660.0
20140618:0400,12.51,64.7,174.0,471.93,67.0,281.8,2.0,321.0,99631.0
20140618:0500,13.7,57.4,302.0,655.46,77.0,278.8,2.83,324.0,99631.0
20140618:0600,14.46,52.1,423.0,702.17,100.0,282.4,3.72,334.0,99631.0
20140618:0700,15.99,47.4,545.0,761.02,112.0,317.2,4.0,335.0,99601.0
20140618:0800,16.88,43.75,648.0,787.63,126.0,333.8,3.86,336.0,99582.0
20140618:0900,18.18,38.95,719.0,768.78,154.0,329.0,3.79,336.0,99532.0
20140618:1000,19.33,34.75,788.0,845.48,128.0,327.6,3.52,337.0,99474.0
20140618:1100,20.12,32.1,755.0,675.29,217.0,327.6,3.31,334.0,99385.0
20140618:1200,21.21,29.7,727.0,634.23,231.0,318.0,3.17,328.0,99346.0
20140618:1300,21.7,29.4,562.0,310.43,333.0,330.2,2.9,324.0,99277.0
20140618:1400,22.14,28.5,509.0,324.01,293.0,307.4,2.76,324.0,99209.0
20140618:1500,22.59,26.8,454.0,386.93,232.0,308.0,2.83,321.0,99150.0
20140618:1600,22.49,26.7,412.0,614.61,126.0,336.2,2.55,318.0,99101.0
20140618:1700,21.88,28.95,230.0,232.23,149.0,342.6,1.93,332.0,99032.0
20140618:1800,21.16,34.1,158.0,310.27,86.0,335.0,1.31,15.0,98973.0
20140618:1900,19.33,42.25,64.0,162.48,44.0,332.8,1.52,46.0,98934.0
20140618:2000,17.74,46.65,0.0,0.0,0.0,328.8,1.86,74.0,98924.0
20140618:2100,16.44,49.55,0.0,-0.0,0.0,344.4,2.07,88.0,98875.0
20140618:2200,15.55,52.95,0.0,-0.0,0.0,357.2,2.0,84.0,98885.0
20140618:2300,14.61,55.75,0.0,-0.0,0.0,353.6,2.0,73.0,98816.0
20140619:0000,13.42,62.4,0.0,-0.0,0.0,344.8,2.0,71.0,98767.0
20140619:0100,11.78,74.25,0.0,-0.0,0.0,336.85,2.07,74.0,98698.0
20140619:0200,10.48,87.6,0.0,0.0,0.0,345.0,2.0,73.0,98659.0
20140619:0300,10.02,91.45,7.0,0.0,7.0,346.8,1.93,67.0,98610.0
20140619:0400,9.87,92.9,22.0,0.0,22.0,343.6,1.93,60.0,98561.0
20140619:0500,9.82,94.1,99.0,0.0,99.0,342.2,1.66,60.0,98522.0
20140619:0600,10.3,92.4,144.0,2.17,143.0,346.8,1.1,60.0,98532.0
20140619:0700,12.18,80.95,302.0,72.08,261.0,322.6,0.48,46.0,98492.0
20140619:0800,13.71,70.8,522.0,363.68,281.0,329.6,1.03,352.0,98492.0
20140619:0900,15.07,66.0,560.0,310.23,332.0,324.6,1.79,345.0,98433.0
20140619:1000,16.38,61.5,542.0,210.07,378.0,312.8,2.28,348.0,98384.0
20140619:1100,17.62,56.05,508.0,144.31,393.0,309.6,2.55,346.0,98463.0
20140619:1200,18.06,53.7,743.0,683.83,208.0,332.4,2.97,341.0,98502.0
20140619:1300,18.43,50.55,211.0,0.0,211.0,335.4,3.38,337.0,98414.0
20140619:1400,17.91,47.15,500.0,301.28,299.0,327.4,3.93,352.0,98384.0
20140619:1500,16.67,47.3,154.0,0.0,154.0,319.8,4.34,1.0,98355.0
20140619:1600,16.55,44.3,439.0,759.69,85.0,308.6,3.86,358.0,98414.0
20140619:1700,16.32,41.3,249.0,309.04,141.0,317.6,4.0,356.0,98453.0
20140619:1800,15.21,42.3,175.0,438.26,73.0,299.8,4.07,359.0,98532.0
20140619:1900,13.72,45.65,80.0,347.48,37.0,287.0,3.66,357.0,98600.0
20140619:2000,12.4,47.75,0.0,0.0,0.0,279.6,3.52,355.0,98698.0
20140619:2100,11.04,49.75,0.0,-0.0,0.0,269.8,3.31,352.0,98767.0
20140619:2200,9.94,52.25,0.0,-0.0,0.0,263.6,3.1,349.0,98895.0
20140619:2300,8.98,54.8,0.0,-0.0,0.0,257.0,3.03,348.0,98954.0
20140620:0000,8.14,56.95,0.0,-0.0,0.0,252.2,2.9,347.0,98993.0
20140620:0100,7.57,58.65,0.0,-0.0,0.0,248.8,2.76,346.0,99003.0
20140620:0200,6.96,60.6,0.0,0.0,0.0,246.0,2.62,345.0,99022.0
20140620:0300,6.76,62.1,74.0,304.89,38.0,244.0,2.55,345.0,99032.0
