;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;1;2;3;3B;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;Date;Døgnpris;;;;;;;
18.01.2022;1406,60;1389,76;1385,98;;1384,98;1394,25;1447,84;1540,97;2583,79;2779,13;2399,21;1935,33;1584,30;1523,04;1505,91;1489,57;1483,60;1496,74;1505,01;1473,34;1432,10;1394,05;1391,56;1369,64;1330,59;18.01.2022;1609,47;;;;;;;
19.01.2022;1375,47;1346,03;1346,03;;1334,66;1335,16;1356,51;1374,47;1388,34;1396,22;1395,22;1391,03;1386,14;1379,96;1380,65;1379,26;1372,17;1375,87;1373,87;1369,28;1342,44;1307,52;1318,80;1257,54;1200,17;19.01.2022;1353,45;;;;;;;
20.01.2022;1263,40;1222,81;1182,21;;1152,75;1153,95;1228,08;1297,93;1311,56;1352,76;1337,73;1319,23;1315,94;1286,89;1277,83;1307,98;1322,21;1355,35;1375,15;1362,01;1361,22;1360,12;1356,14;1318,93;1280,72;20.01.2022;1295,95;;;;;;;
21.01.2022;1271,38;1264,50;1270,88;;1275,77;1278,66;1308,07;1321,72;1424,50;1440,35;1438,26;1436,96;1422,31;1409,15;1440,15;1422,70;1433,07;1452,31;1478,73;1464,67;1418,62;1363,49;1337,57;1331,69;1271,78;21.01.2022;1374,05;;;;;;;
22.01.2022;1279,34;1245,33;1242,12;;1260,88;1279,24;1288,77;1299,10;1378,64;1431,21;1441,74;1458,39;1460,40;1459,39;1457,89;1452,57;1456,48;1471,23;1496,41;1493,80;1464,41;1441,24;1419,47;1389,08;1350,66;22.01.2022;1392,41;;;;;;;
23.01.2022;1329,07;1326,25;1326,55;;1325,74;1325,24;1330,99;1331,39;1340,18;1347,35;1392,37;1414,08;1419,73;1422,15;1412,97;1407,82;1411,45;1438,31;1459,00;1443,35;1412,56;1364,20;1343,61;1335,53;1325,54;23.01.2022;1374,39;;;;;;;
24.01.2022;1331,60;1315,85;1307,37;;1304,54;1303,93;1321,40;1341,49;1368,45;1378,44;1380,36;1379,45;1376,42;1374,81;1370,36;1373,09;1369,96;1378,14;1381,77;1376,82;1374,00;1359,16;1364,51;1348,86;1333,72;24.01.2022;1354,77;;;;;;;
25.01.2022;1319,28;1310,66;1312,08;;1317,86;1330,43;1359,33;1395,32;1509,80;1677,92;1860,43;1954,22;1771,81;1771,61;1748,59;1743,72;1699,11;1777,29;1763,40;1695,97;1600,45;1505,04;1470,05;1425,44;1360,04;25.01.2022;1569,99;;;;;;;
26.01.2022;1354,75;1334,30;1309,26;;1282,19;1280,35;1297,76;1317,50;1350,07;1372,56;1355,16;1343,05;1335,42;1312,82;1302,03;1302,03;1303,05;1332,77;1366,97;1361,37;1340,10;1334,30;1336,84;1318,93;1285,04;26.01.2022;1326,19;;;;;;;
27.01.2022;1267,21;1213,74;1166,68;;1152,03;1153,33;1178,42;1228,58;1285,67;1343,97;1333,53;1333,03;1323,30;1307,05;1320,19;1332,93;1332,93;1337,65;1329,12;1288,18;1248,75;1245,04;1262,40;1235,81;1219,15;27.01.2022;1268,28;;;;;;;
28.01.2022;1219,24;1205,93;1205,23;;1210,93;1216,23;1283,86;1311,07;1368,49;1425,11;1426,21;1434,11;1438,41;1432,91;1425,31;1423,21;1431,91;1488,73;1502,24;1475,23;1421,21;1369,69;1364,09;1322,87;1248,05;28.01.2022;1360,43;;;;;;;
29.01.2022;1263,53;1194,58;1094,21;;803,45;455,27;470,22;689,83;932,52;1154,13;1149,62;1166,78;1225,59;1203,51;1193,18;1198,80;1210,04;1217,36;1230,01;1264,44;1196,59;1182,04;1180,33;1143,59;1101,74;29.01.2022;1080,06;;;;;;;
30.01.2022;1115,24;1033,10;995,18;;1020,29;1005,88;1063,01;1113,03;1123,64;1141,45;1166,16;1198,78;1198,98;1198,47;1193,07;1198,78;1204,68;1236,19;1318,53;1378,46;1404,87;1418,48;1422,38;1428,59;1398,07;30.01.2022;1207,30;;;;;;;
31.01.2022;1366,46;1328,04;1281,61;;1217,08;1221,29;1329,14;1433,59;1502,32;2354,33;2439,77;2402,55;2300,90;2227,47;1903,81;1508,92;1493,72;1496,72;1492,12;1480,91;1477,41;1476,01;1488,41;1469,40;1422,48;31.01.2022;1629,77;;;;;;;
01.02.2022;1410,55;1392,92;1358,04;;1350,32;1378,38;1437,51;1459,86;2204,27;2366,82;1717,82;1479,80;1455,35;1428,29;1390,01;1344,11;1317,15;1305,73;1317,35;1334,39;1267,54;1240,99;1242,29;1207,11;1178,15;01.02.2022;1441,03;;;;;;;
02.02.2022;1118,14;1104,99;1044,96;;1046,45;1111,66;1166,72;1251,84;1363,15;1406,65;1395,80;1382,86;1388,63;1364,74;1383,06;1414,02;1435,23;1459,42;1487,99;1488,89;1494,86;1498,25;1573,91;1542,75;1419,40;02.02.2022;1347,68;;;;;;;
03.02.2022;1361,09;1349,86;1338,84;;1339,73;1360,69;1374,50;1418,11;1636,44;2067,46;1611,91;1509,89;1518,43;1505,02;1501,65;1518,23;1513,17;1554,29;1529,56;1465,49;1416,32;1374,60;1344,20;1320,36;1260,76;03.02.2022;1466,28;;;;;;;
04.02.2022;1245,81;1216,70;1193,68;;1183,11;1178,63;1168,06;1226,97;1281,39;1292,66;1287,77;1285,18;1287,17;1265,64;1240,23;1208,13;1211,82;1249,30;1288,57;1288,57;1249,70;1221,09;1170,56;1157,20;1129,09;04.02.2022;1230,29;;;;;;;
05.02.2022;1138,02;1118,35;1103,29;;1101,39;1113,83;1132,20;1173,05;1186,69;1200,14;1239,69;1221,82;1184,29;1148,66;1120,15;1103,69;1150,76;1205,66;1251,03;1253,13;1218,41;1171,24;1127,18;1123,77;1088,84;05.02.2022;1161,47;;;;;;;
06.02.2022;1121,45;1085,35;988,21;;934,31;760,44;858,59;1000,28;1050,36;1087,66;1160,97;1199,09;1203,01;1192,65;1191,74;1207,73;1210,15;1225,73;1232,77;1273,70;1231,87;1223,52;1181,69;1167,11;1131,31;06.02.2022;1121,65;;;;;;;
07.02.2022;1123,16;1106,17;1105,16;;1104,06;1105,87;1135,63;1203,91;1287,88;1309,00;1279,74;1239,11;1229,86;1182,49;1211,66;1230,36;1230,66;1252,38;1340,98;1359,08;1350,63;1328,31;1282,25;1239,61;1160,37;07.02.2022;1224,93;;;;;;;
08.02.2022;1188,78;1146,84;1122,24;;1092,09;1083,32;1145,22;1229,81;1255,82;1303,61;1281,13;1249,17;1251,79;1240,60;1234,95;1230,52;1266,81;1304,52;1320,25;1328,11;1325,69;1322,57;1309,26;1272,36;1234,85;08.02.2022;1239,18;;;;;;;
09.02.2022;1174,59;1157,47;1160,29;;1129,77;1141,55;1166,53;1239,26;1262,73;1280,36;1269,08;1245,30;1212,06;1203,90;1208,74;1207,63;1209,24;1234,63;1261,12;1270,79;1251,85;1245,30;1230,40;1211,66;1201,08;09.02.2022;1215,64;;;;;;;
10.02.2022;1179,74;1175,81;1182,35;;1191,51;1195,24;1215,16;1251,29;1290,03;1295,87;1294,26;1290,34;1260,75;1248,07;1237,10;1236,29;1245,65;1259,14;1294,56;1298,19;1295,27;1294,96;1259,54;1251,49;1229,25;10.02.2022;1248,83;;;;;;;
11.02.2022;1244,45;1244,05;1241,53;;1239,41;1242,94;1255,35;1273,91;1346,25;1512,62;1545,81;1345,14;1272,40;1254,75;1256,96;1264,63;1263,93;1285,31;1305,69;1298,13;1270,58;1264,63;1257,27;1243,85;1232,65;11.02.2022;1290,09;;;;;;;
12.02.2022;1192,83;1188,39;1173,67;;1158,95;1137,47;1127,59;1130,31;1150,28;1157,23;1161,07;1131,02;1105,81;1095,93;1049,85;1065,78;1108,33;1139,69;1169,13;1164,19;1135,25;1122,45;1087,06;1075,26;1058,22;12.02.2022;1128,57;;;;;;;
13.02.2022;1032,10;1024,95;1036,73;;1029,99;1042,47;1035,82;1007,13;1008,84;1028,58;1038,24;1024,05;999,48;997,57;986,90;987,30;999,98;1046,80;1111,63;1118,58;1078,21;1065,32;1043,58;1043,27;1044,58;13.02.2022;1034,67;;;;;;;
14.02.2022;1006,23;1006,03;1006,23;;1007,33;1014,48;1029,99;1084,75;1150,79;1138,11;1102,77;1080,22;1079,01;1078,81;1082,34;1114,05;1137,50;1153,31;1181,70;1175,66;1148,58;1138,81;1126,63;1114,95;1082,23;14.02.2022;1093,35;;;;;;;
15.02.2022;1103,74;1105,25;1100,10;;1109,40;1111,72;1130,22;1153,37;1187,34;1202,20;1197,95;1188,05;1171,47;1160,65;1156,00;1153,78;1149,83;1155,29;1181,48;1169,55;1146,40;1117,18;1083,62;1063,20;1041,16;15.02.2022;1139,12;;;;;;;
16.02.2022;1014,16;1012,04;1035,35;;1070,25;1076,91;1104,25;1151,76;1185,36;1202,91;1194,94;1195,95;1190,60;1163,97;1131,79;1090,33;1058,95;1067,53;1117,36;1144,70;1129,27;1093,86;1081,65;1063,39;1047,15;16.02.2022;1109,35;;;;;;;
17.02.2022;1012,66;994,02;963,73;;941,25;931,52;964,64;1037,07;1121,35;1125,40;1072,02;1064,12;1049,13;1037,98;1034,94;1034,74;1034,44;1034,84;1075,97;1100,38;1061,48;1013,77;1022,99;1012,15;996,15;17.02.2022;1030,70;;;;;;;
18.02.2022;997,59;995,56;992,22;;989,28;1025,25;1070,65;1132,87;1184,25;1201,18;1216,07;1205,84;1203,81;1168,14;1127,20;1077,14;1056,57;1078,76;1153,65;1196,52;1177,87;1140,17;1128,92;1110,58;1061,53;18.02.2022;1112,15;;;;;;;
19.02.2022;1068,60;1027,99;994,80;;926,28;893,90;921,00;986,17;1019,16;1043,73;1040,07;1023,42;1028,50;1025,05;1014,39;1010,13;1012,16;1035,71;1094,38;1164,22;1148,69;1089,20;1067,38;1068,39;1057,33;19.02.2022;1031,69;;;;;;;
20.02.2022;1092,75;1048,02;1019,56;;985,71;936,30;915,36;903,88;876,94;945,66;998,41;1030,23;1041,00;1044,46;1023,72;1014,07;1016,71;1024,94;1067,54;1076,89;1077,40;1077,80;1074,85;1064,59;1023,32;20.02.2022;1015,84;;;;;;;
21.02.2022;996,99;971,68;974,22;;953,28;947,59;1013,05;1062,86;1119,17;1152,11;1107,69;1105,55;1099,35;1096,81;1088,88;1099,25;1137,78;1117,95;1167,86;1188,80;1174,78;1131,07;1100,37;1076,48;1044,56;21.02.2022;1080,34;;;;;;;
